Q6P7Q4,Glo1,
Q6P7R8,Hsd17b12,
Q6P8X1,Snx6,
Q6P9B6,MEAK7,
Q6P9J9,Ano6,
Q6PB66,Lrpprc,
Q6PI48,DARS2,
Q6Q7Y5,Gna13,
Q6QA27,Trim44,
Q6QI75,Wdr55,
Q6QLN3,Nop53,
Q6RW13,AGTRAP,
Q6TA25-2,Fgfr1op2,
Q6TMG5,Ikbkg,
Q6UB35,MTHFD1L,
Q6UW63,POGLUT2,
Q6UW68,TMEM205,
Q6WN19,Rtn2,
Q6Y288,B3GLCT,
Q6YDN8,Gid8,
Q6ZV73,FGD6,
Q70UQ0-4,IKBIP,
Q71UF4,Rbbp7,
Q76MT4,Esf1,
Q7L0Y3,TRMT10C,
Q7L5N7,LPCAT2,
Q7TMS5,Abcg2,
Q7TP06,Q7TP06,
Q7TP48,Apmap,
Q7TPV4,Mybbp1a,
Q7Z3U7,MON2,
Q7Z406-2,MYH14,
Q7Z4H8,POGLUT3,
Q7Z4R8,C6orf120,
Q7Z5G4,GOLGA7,
Q7Z6J4,FGD2,
Q7Z6M4,MTERF4,
Q7Z7A1,CNTRL,
Q7Z7G8,VPS13B,
Q7Z7H8-2,MRPL10,
Q7Z7L1,SLFN11,
Q80W96,Isca1,
Q80XN0,Bdh1,
Q811P6,Tfb1m,
Q812G0,Mgat4a,
Q86UK0,ABCA12,
Q86VQ6,TXNRD3,
Q86X10,RALGAPB,
Q86XE3,MICU3,
Q86XP3,DDX42,
Q86XX4-2,FRAS1,
Q86YB8,ERO1B,
Q86YN1,DOLPP1,
Q86YS6,RAB43,
Q8BGH2,Samm50,
Q8BGQ4,Pomt2,
Q8BGV0,Nars2,
Q8BH64,Ehd2,
Q8BHC4,Dcakd,
Q8BHE8,Maip1,
Q8BHL4,Gprc5a,
Q8BI08,Mal2,
Q8BIG7,Comtd1,
Q8BL03,Slc25a29,
Q8BLN5,Lss,
Q8BW66,Slc25a48,
Q8BXA5,Clptm1l,
Q8BYY4,Ttc39b,
Q8C2L6,Tmem161b,
Q8C4B4,Unc119b,
Q8CD10,Micu2,
Q8CE50,Snx30,
Q8CHN6,Sgpl1,
Q8CIM7,Cyp2d26,
Q8IUG5-3,MYO18B,
Q8IV48,ERI1,
Q8IVL6,P3H3,
Q8IXH7,NELFCD,
Q8IXH8-1,CDH26,
Q8IXM3,MRPL41,
Q8IXQ4,GPALPP1,
Q8IYK4,COLGALT2,
Q8IYS2-2,KIAA2013,
Q8IYU8,MICU2,
